130,102,124,2022-09-21 1:13:44 PM +00:00,,,,PosX,NegX
131,102,124,2022-09-21 1:13:44 PM +00:00,,,,210,50
130,102,124,2022-09-21 1:13:44 PM +00:00,,,,,
130,102,124,2022-09-21 1:13:44 PM +00:00,,,,,
131,101,124,2022-09-21 1:13:44 PM +00:00,,,,,
131,102,124,2022-09-21 1:13:44 PM +00:00,,,,,
130,102,124,2022-09-21 1:13:44 PM +00:00,,,,,
131,102,124,2022-09-21 1:13:44 PM +00:00,,,,,
131,102,124,2022-09-21 1:13:44 PM +00:00,,,,,
131,102,124,2022-09-21 1:13:44 PM +00:00,,,,,
131,102,124,2022-09-21 1:13:44 PM +00:00,,,,,
131,102,124,2022-09-21 1:13:44 PM +00:00,,,,,
130,102,124,2022-09-21 1:13:44 PM +00:00,,,,,
131,101,125,2022-09-21 1:13:44 PM +00:00,,,,,
131,100,125,2022-09-21 1:13:44 PM +00:00,,,,,
132,99,124,2022-09-21 1:13:45 PM +00:00,,,,,
131,100,124,2022-09-21 1:13:45 PM +00:00,,,,,
130,102,125,2022-09-21 1:13:45 PM +00:00,,,,,
129,103,126,2022-09-21 1:13:45 PM +00:00,,,,,
128,105,125,2022-09-21 1:13:45 PM +00:00,,,,,
129,104,125,2022-09-21 1:13:45 PM +00:00,,,,,
130,102,125,2022-09-21 1:13:45 PM +00:00,,,,,
131,102,124,2022-09-21 1:13:45 PM +00:00,,,,,
129,102,125,2022-09-21 1:13:45 PM +00:00,,,,,
129,102,125,2022-09-21 1:13:45 PM +00:00,,,,,
129,102,126,2022-09-21 1:13:45 PM +00:00,,,,,
130,102,125,2022-09-21 1:13:45 PM +00:00,,,,,
130,102,125,2022-09-21 1:13:45 PM +00:00,,,,,
130,102,125,2022-09-21 1:13:45 PM +00:00,,,,,
130,102,125,2022-09-21 1:13:45 PM +00:00,,,,,
130,101,126,2022-09-21 1:13:45 PM +00:00,,,,,
131,101,125,2022-09-21 1:13:45 PM +00:00,,,,,
130,101,125,2022-09-21 1:13:45 PM +00:00,,,,,
130,101,126,2022-09-21 1:13:45 PM +00:00,,,,,
130,102,125,2022-09-21 1:13:45 PM +00:00,,,,,
129,103,125,2022-09-21 1:13:45 PM +00:00,,,,,
129,103,126,2022-09-21 1:13:45 PM +00:00,,,,,
130,102,125,2022-09-21 1:13:45 PM +00:00,,,,,
131,101,125,2022-09-21 1:13:45 PM +00:00,,,,,
131,101,125,2022-09-21 1:13:45 PM +00:00,,,,,
130,102,125,2022-09-21 1:13:46 PM +00:00,,,,,
130,102,125,2022-09-21 1:13:46 PM +00:00,,,,,
130,102,125,2022-09-21 1:13:46 PM +00:00,,,,,
131,102,125,2022-09-21 1:13:46 PM +00:00,,,,,
131,102,126,2022-09-21 1:13:46 PM +00:00,,,,,
130,102,125,2022-09-21 1:13:46 PM +00:00,,,,,
130,102,126,2022-09-21 1:13:46 PM +00:00,,,,,
131,102,126,2022-09-21 1:13:46 PM +00:00,,,,,
130,102,125,2022-09-21 1:13:46 PM +00:00,,,,,
130,101,125,2022-09-21 1:13:46 PM +00:00,,,,,
129,99,126,2022-09-21 1:13:46 PM +00:00,,,,,
122,90,131,2022-09-21 1:13:46 PM +00:00,,,,,
88,94,143,2022-09-21 1:13:46 PM +00:00,,,,,
12,150,158,2022-09-21 1:13:46 PM +00:00,,,,,
89,154,110,2022-09-21 1:13:46 PM +00:00,,,,,
250,39,102,2022-09-21 1:13:46 PM +00:00,,,,,
133,140,133,2022-09-21 1:13:46 PM +00:00,,,,,
121,124,131,2022-09-21 1:13:46 PM +00:00,,,,,
150,96,128,2022-09-21 1:13:46 PM +00:00,,,,,
128,105,128,2022-09-21 1:13:46 PM +00:00,,,,,
136,101,130,2022-09-21 1:13:46 PM +00:00,,,,,
132,104,123,2022-09-21 1:13:46 PM +00:00,,,,,
138,100,130,2022-09-21 1:13:46 PM +00:00,,,,,
132,101,128,2022-09-21 1:13:46 PM +00:00,,,,,
132,103,128,2022-09-21 1:13:47 PM +00:00,,,,,
132,103,128,2022-09-21 1:13:47 PM +00:00,,,,,
131,105,125,2022-09-21 1:13:47 PM +00:00,,,,,
135,102,129,2022-09-21 1:13:47 PM +00:00,,,,,
131,104,126,2022-09-21 1:13:47 PM +00:00,,,,,
132,103,128,2022-09-21 1:13:47 PM +00:00,,,,,
133,103,127,2022-09-21 1:13:47 PM +00:00,,,,,
132,104,126,2022-09-21 1:13:47 PM +00:00,,,,,
133,104,126,2022-09-21 1:13:47 PM +00:00,,,,,
132,103,128,2022-09-21 1:13:47 PM +00:00,,,,,
132,103,126,2022-09-21 1:13:47 PM +00:00,,,,,
133,102,126,2022-09-21 1:13:47 PM +00:00,,,,,
132,103,125,2022-09-21 1:13:47 PM +00:00,,,,,
132,103,127,2022-09-21 1:13:47 PM +00:00,,,,,
132,103,125,2022-09-21 1:13:47 PM +00:00,,,,,
132,104,127,2022-09-21 1:13:47 PM +00:00,,,,,
131,104,127,2022-09-21 1:13:47 PM +00:00,,,,,
132,103,127,2022-09-21 1:13:47 PM +00:00,,,,,
132,103,127,2022-09-21 1:13:47 PM +00:00,,,,,
132,103,127,2022-09-21 1:13:47 PM +00:00,,,,,
132,103,126,2022-09-21 1:13:47 PM +00:00,,,,,
132,102,126,2022-09-21 1:13:47 PM +00:00,,,,,
130,103,127,2022-09-21 1:13:47 PM +00:00,,,,,
130,102,126,2022-09-21 1:13:47 PM +00:00,,,,,
131,102,127,2022-09-21 1:13:47 PM +00:00,,,,,
130,103,125,2022-09-21 1:13:48 PM +00:00,,,,,
131,102,127,2022-09-21 1:13:48 PM +00:00,,,,,
130,103,126,2022-09-21 1:13:48 PM +00:00,,,,,
130,102,126,2022-09-21 1:13:48 PM +00:00,,,,,
