,,,,,,Time (ms),Speed (counts/s),,Time Step
255,1,0,0,0,,0,0,,5
255,1,0,0,0,,5,0,,
255,1,0,1,0,,10,0.0002,,
255,1,0,2,0,,15,0.0004,,
255,1,0,2,0,,20,0.0004,,
255,1,0,2,0,,25,0.0004,,
255,1,0,3,0,,30,0.0006,,
255,1,0,2,0,,35,0.0004,,
255,1,0,3,0,,40,0.0006,,
255,1,0,2,0,,45,0.0004,,
255,1,0,2,0,,50,0.0004,,
255,1,0,3,0,,55,0.0006,,
255,1,0,2,0,,60,0.0004,,
255,1,0,2,0,,65,0.0004,,
255,1,0,2,0,,70,0.0004,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,3,0,,,,,
255,1,0,3,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
,,,,,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
,,,,,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
255,1,0,3,0,,,,,
255,1,0,2,0,,,,,
255,1,0,3,0,,,,,
