,,,,,,Time (ms),Speed (counts/s),,Time Step,
255,1,0,0,0,,0,0,,1,ms
255,1,0,0,0,,1,0,,,
255,1,0,3,0,,2,0.003,,,
255,1,0,8,0,,3,0.008,,,
255,1,0,10,0,,4,0.01,,,
255,1,0,12,0,,5,0.012,,,
255,1,0,12,0,,6,0.012,,,
255,1,0,13,0,,7,0.013,,,
255,1,0,13,0,,8,0.013,,,
255,1,0,12,0,,9,0.012,,,
255,1,0,13,0,,10,0.013,,,
255,1,0,12,0,,11,0.012,,,
255,1,0,13,0,,12,0.013,,,
255,1,0,13,0,,13,0.013,,,
255,1,0,13,0,,14,0.013,,,
255,1,0,13,0,,,,,,
255,1,0,13,0,,,,,,
255,1,0,13,0,,,,,,
255,1,0,14,0,,,,,,
255,1,0,13,0,,,,,,
255,1,0,13,0,,,,,,
0,,,,,,,,,,
255,1,0,13,,,,,,,
0,,,,,,,,,,
255,1,0,,,,,,,,
0,,,,,,,,,,
255,1,0,14,0,,,,,,
255,1,0,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
255,1,0,,,,,,,,
0,,,,,,,,,,
255,1,0,,,,,,,,
0,,,,,,,,,,
255,1,0,,,,,,,,
0,,,,,,,,,,
255,1,0,,,,,,,,
0,,,,,,,,,,
255,1,0,,,,,,,,
0,,,,,,,,,,
255,1,0,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
255,1,0,,,,,,,,
0,,,,,,,,,,
255,1,0,,,,,,,,
0,,,,,,,,,,
255,1,0,14,0,,,,,,
255,1,0,,,,,,,,
0,,,,,,,,,,
,,,,,,,,,,
255,1,0,,,,,,,,
0,,,,,,,,,,
255,1,0,,,,,,,,
0,,,,,,,,,,
255,1,0,14,0,,,,,,
255,1,0,,,,,,,,
0,,,,,,,,,,
255,1,0,,,,,,,,
0,,,,,,,,,,
255,1,0,,,,,,,,
0,,,,,,,,,,
255,1,0,,,,,,,,
0,,,,,,,,,,
255,1,0,14,0,,,,,,
255,1,0,,,,,,,,
0,,,,,,,,,,
255,1,0,,,,,,,,
0,,,,,,,,,,
255,1,0,14,0,,,,,,
255,1,0,11,0,,,,,,
255,1,0,8,0,,,,,,
255,1,0,7,0,,,,,,
255,1,0,7,0,,,,,,
255,1,0,6,0,,,,,,
255,1,0,5,0,,,,,,
255,1,0,6,0,,,,,,
255,1,0,6,0,,,,,,
255,1,0,5,0,,,,,,
255,1,0,6,0,,,,,,
255,1,0,6,0,,,,,,
255,1,0,5,0,,,,,,
255,1,0,6,0,,,,,,
255,1,0,5,0,,,,,,
255,1,0,6,0,,,,,,
255,1,0,6,0,,,,,,
255,1,0,6,0,,,,,,
255,1,0,6,0,,,,,,
255,1,0,7,0,,,,,,
255,1,0,6,0,,,,,,
255,1,0,6,0,,,,,,
255,1,0,7,0,,,,,,
255,1,0,5,0,,,,,,
255,1,0,5,0,,,,,,
255,1,0,7,0,,,,,,
255,1,0,5,0,,,,,,
255,1,0,5,0,,,,,,
,,,,,,,,,,
255,1,0,6,0,,,,,,
255,1,0,5,0,,,,,,
255,1,0,6,0,,,,,,
255,1,0,6,0,,,,,,
,,,,,,,,,,
255,1,0,5,0,,,,,,
255,1,0,5,0,,,,,,
255,1,0,0,3,,,,,,
255,1,0,254,2,,,,,,
255,1,0,254,2,,,,,,
255,1,0,254,2,,,,,,
255,1,0,0,3,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
,,,,,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
,,,,,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
255,1,0,0,0,,,,,,
