Time (ms),Position (mm),Speed (m/s),,Hp,0.002,m
0,0,0,,N,20,teeth
20,0.163398693,12.25490196,,Ts,20,ms
40,0.653594771,36.76470588,,V_avg,45.9512333,rpm
60,1.14379085,36.76470588,,,,
80,1.633986928,36.76470588,,,,
100,2.287581699,49.01960784,,,,
120,2.777777778,36.76470588,,,,
140,3.431372549,49.01960784,,,,
160,3.921568627,36.76470588,,,,
180,5.22875817,98.03921569,,,,
200,5.718954248,36.76470588,,,,
220,6.37254902,49.01960784,,,,
240,7.026143791,49.01960784,,,,
260,7.516339869,36.76470588,,,,
280,8.169934641,49.01960784,,,,
300,8.660130719,36.76470588,,,,
320,9.31372549,49.01960784,,,,
340,9.967320261,49.01960784,,,,
360,10.45751634,36.76470588,,,,
380,11.11111111,49.01960784,,,,
400,11.76470588,49.01960784,,,,
420,12.25490196,36.76470588,,,,
440,12.90849673,49.01960784,,,,
460,13.39869281,36.76470588,,,,
480,14.05228758,49.01960784,,,,
500,14.70588235,49.01960784,,,,
520,15.19607843,36.76470588,,,,
540,15.8496732,49.01960784,,,,
560,16.33986928,36.76470588,,,,
580,16.99346405,49.01960784,,,,
600,17.64705882,49.01960784,,,,
620,18.1372549,36.76470588,,,,
640,18.79084967,49.01960784,,,,
660,19.28104575,36.76470588,,,,
680,19.93464052,49.01960784,,,,
700,20.58823529,49.01960784,,,,
720,21.07843137,36.76470588,,,,
740,21.73202614,49.01960784,,,,
760,22.22222222,36.76470588,,,,
780,22.87581699,49.01960784,,,,
800,23.52941176,49.01960784,,,,
820,24.01960784,36.76470588,,,,
840,24.67320261,49.01960784,,,,
860,25.16339869,36.76470588,,,,
880,25.81699346,49.01960784,,,,
900,26.47058824,49.01960784,,,,
920,26.96078431,36.76470588,,,,
940,27.61437908,49.01960784,,,,
960,28.10457516,36.76470588,,,,
980,29.41176471,98.03921569,,,,
1000,29.90196078,36.76470588,,,,
1020,30.55555556,49.01960784,,,,
1040,31.69934641,85.78431373,,,,
1060,32.18954248,36.76470588,,,,
1080,32.84313725,49.01960784,,,,
1100,33.49673203,49.01960784,,,,
1120,33.9869281,36.76470588,,,,
1140,34.64052288,49.01960784,,,,
1160,35.29411765,49.01960784,,,,
1180,35.78431373,36.76470588,,,,
1200,36.4379085,49.01960784,,,,
1220,36.92810458,36.76470588,,,,
1240,37.58169935,49.01960784,,,,
1260,38.07189542,36.76470588,,,,
1280,38.7254902,49.01960784,,,,
1300,39.37908497,49.01960784,,,,
1320,39.86928105,36.76470588,,,,
1340,40.52287582,49.01960784,,,,
1360,41.17647059,49.01960784,,,,
1380,41.66666667,36.76470588,,,,
1400,42.32026144,49.01960784,,,,
1420,42.81045752,36.76470588,,,,
1440,43.46405229,49.01960784,,,,
1460,43.95424837,36.76470588,,,,
1480,44.60784314,49.01960784,,,,
1500,45.26143791,49.01960784,,,,
1520,45.75163399,36.76470588,,,,
1540,46.40522876,49.01960784,,,,
1560,46.89542484,36.76470588,,,,
1580,47.54901961,49.01960784,,,,
1600,48.20261438,49.01960784,,,,
1620,48.69281046,36.76470588,,,,
1640,49.34640523,49.01960784,,,,
1660,49.83660131,36.76470588,,,,
1680,50.49019608,49.01960784,,,,
1700,51.14379085,49.01960784,,,,
1720,51.63398693,36.76470588,,,,
1740,52.2875817,49.01960784,,,,
1760,53.43137255,85.78431373,,,,
1780,54.08496732,49.01960784,,,,
1800,54.5751634,36.76470588,,,,
1820,55.22875817,49.01960784,,,,
1840,55.71895425,36.76470588,,,,
1860,56.37254902,49.01960784,,,,
1880,57.02614379,49.01960784,,,,
1900,57.51633987,36.76470588,,,,
1920,58.16993464,49.01960784,,,,
1940,58.82352941,49.01960784,,,,
1960,59.31372549,36.76470588,,,,
1980,59.96732026,49.01960784,,,,
2000,60.45751634,36.76470588,,,,
2020,61.11111111,49.01960784,,,,
2040,61.60130719,36.76470588,,,,
2060,62.25490196,49.01960784,,,,
2080,62.90849673,49.01960784,,,,
2100,63.39869281,36.76470588,,,,
2120,64.05228758,49.01960784,,,,
2140,64.54248366,36.76470588,,,,
2160,65.19607843,49.01960784,,,,
2180,65.8496732,49.01960784,,,,
2200,66.33986928,36.76470588,,,,
2220,66.99346405,49.01960784,,,,
2240,67.48366013,36.76470588,,,,
2260,68.1372549,49.01960784,,,,
2280,68.62745098,36.76470588,,,,
2300,69.28104575,49.01960784,,,,
2320,69.93464052,49.01960784,,,,
2340,70.4248366,36.76470588,,,,
2360,71.07843137,49.01960784,,,,
2380,71.73202614,49.01960784,,,,
2400,72.22222222,36.76470588,,,,
2420,72.87581699,49.01960784,,,,
2440,73.36601307,36.76470588,,,,
2460,74.01960784,49.01960784,,,,
2480,74.50980392,36.76470588,,,,
2500,75.16339869,49.01960784,,,,
2520,75.81699346,49.01960784,,,,
2540,76.30718954,36.76470588,,,,
2560,76.96078431,49.01960784,,,,
2580,77.61437908,49.01960784,,,,
2600,78.10457516,36.76470588,,,,
2620,78.75816993,49.01960784,,,,
2640,79.24836601,36.76470588,,,,
2660,79.90196078,49.01960784,,,,
2680,80.39215686,36.76470588,,,,
2700,81.04575163,49.01960784,,,,
2720,81.69934641,49.01960784,,,,
2740,82.18954248,36.76470588,,,,
2760,82.84313725,49.01960784,,,,
2780,83.49673203,49.01960784,,,,
2800,83.9869281,36.76470588,,,,
2820,84.64052288,49.01960784,,,,
2840,85.13071895,36.76470588,,,,
2860,85.78431373,49.01960784,,,,
2880,86.92810458,85.78431373,,,,
2900,87.58169935,49.01960784,,,,
2920,88.07189542,36.76470588,,,,
2940,88.7254902,49.01960784,,,,
2960,89.37908497,49.01960784,,,,
2980,89.86928105,36.76470588,,,,
3000,90.52287582,49.01960784,,,,
3020,91.0130719,36.76470588,,,,
3040,91.66666667,49.01960784,,,,
3060,92.15686275,36.76470588,,,,
3080,92.81045752,49.01960784,,,,
3100,93.46405229,49.01960784,,,,
3120,93.95424837,36.76470588,,,,
3140,94.60784314,49.01960784,,,,
3160,95.26143791,49.01960784,,,,
3180,95.75163399,36.76470588,,,,
3200,96.40522876,49.01960784,,,,
3220,96.89542484,36.76470588,,,,
3240,97.54901961,49.01960784,,,,
3260,98.03921569,36.76470588,,,,
3280,98.69281046,49.01960784,,,,
3300,99.34640523,49.01960784,,,,
3320,99.83660131,36.76470588,,,,
3340,100.4901961,49.01960784,,,,
3360,101.1437908,49.01960784,,,,
3380,101.6339869,36.76470588,,,,
3400,102.2875817,49.01960784,,,,
3420,102.7777778,36.76470588,,,,
3440,103.4313725,49.01960784,,,,
3460,103.9215686,36.76470588,,,,
3480,104.5751634,49.01960784,,,,
3500,105.2287582,49.01960784,,,,
3520,105.7189542,36.76470588,,,,
3540,106.372549,49.01960784,,,,
3560,107.0261438,49.01960784,,,,
3580,107.5163399,36.76470588,,,,
3600,108.1699346,49.01960784,,,,
3620,108.6601307,36.76470588,,,,
