Time (ms),Position (mm),Speed (m/s),Ts,20,ms
0,0,0,V_avg,0.047580534,m/s
20,0.326797386,0.016339869,,,
40,0.980392157,0.032679739,,,
60,1.797385621,0.040849673,,,
80,2.614379085,0.040849673,,,
100,4.411764706,0.089869281,,,
120,5.22875817,0.040849673,,,
140,6.209150327,0.049019608,,,
160,7.026143791,0.040849673,,,
180,8.006535948,0.049019608,,,
200,8.986928105,0.049019608,,,
220,9.803921569,0.040849673,,,
240,10.78431373,0.049019608,,,
260,11.76470588,0.049019608,,,
280,12.58169935,0.040849673,,,
300,13.5620915,0.049019608,,,
320,15.35947712,0.089869281,,,
340,16.17647059,0.040849673,,,
360,17.15686275,0.049019608,,,
380,18.1372549,0.049019608,,,
400,18.95424837,0.040849673,,,
420,19.93464052,0.049019608,,,
440,20.75163399,0.040849673,,,
460,21.73202614,0.049019608,,,
480,22.7124183,0.049019608,,,
500,23.52941176,0.040849673,,,
520,24.50980392,0.049019608,,,
540,25.32679739,0.040849673,,,
560,26.30718954,0.049019608,,,
580,27.2875817,0.049019608,,,
600,28.10457516,0.040849673,,,
620,29.08496732,0.049019608,,,
640,29.90196078,0.040849673,,,
660,30.88235294,0.049019608,,,
680,31.69934641,0.040849673,,,
700,32.67973856,0.049019608,,,
720,33.66013072,0.049019608,,,
740,34.47712418,0.040849673,,,
760,35.45751634,0.049019608,,,
780,36.4379085,0.049019608,,,
800,37.25490196,0.040849673,,,
820,38.23529412,0.049019608,,,
840,39.05228758,0.040849673,,,
860,40.03267974,0.049019608,,,
880,41.0130719,0.049019608,,,
900,41.83006536,0.040849673,,,
920,42.81045752,0.049019608,,,
940,43.62745098,0.040849673,,,
960,44.60784314,0.049019608,,,
980,45.4248366,0.040849673,,,
1000,46.40522876,0.049019608,,,
1020,47.38562092,0.049019608,,,
1040,48.20261438,0.040849673,,,
1060,49.18300654,0.049019608,,,
1080,50,0.040849673,,,
1100,50.98039216,0.049019608,,,
1120,52.77777778,0.089869281,,,
1140,53.75816993,0.049019608,,,
1160,54.5751634,0.040849673,,,
1180,55.55555556,0.049019608,,,
1200,56.37254902,0.040849673,,,
1220,57.35294118,0.049019608,,,
1240,58.16993464,0.040849673,,,
1260,59.1503268,0.049019608,,,
1280,60.13071895,0.049019608,,,
1300,60.94771242,0.040849673,,,
1320,61.92810458,0.049019608,,,
1340,62.74509804,0.040849673,,,
1360,63.7254902,0.049019608,,,
1380,64.70588235,0.049019608,,,
1400,65.52287582,0.040849673,,,
1420,67.32026144,0.089869281,,,
1440,68.30065359,0.049019608,,,
1460,69.28104575,0.049019608,,,
1480,70.09803922,0.040849673,,,
1500,71.07843137,0.049019608,,,
1520,71.89542484,0.040849673,,,
1540,72.87581699,0.049019608,,,
1560,73.69281046,0.040849673,,,
1580,74.67320261,0.049019608,,,
1600,75.65359477,0.049019608,,,
1620,76.47058824,0.040849673,,,
1640,77.45098039,0.049019608,,,
1660,78.43137255,0.049019608,,,
1680,79.24836601,0.040849673,,,
1700,80.22875817,0.049019608,,,
1720,81.20915033,0.049019608,,,
1740,82.02614379,0.040849673,,,
1760,83.00653595,0.049019608,,,
1780,83.82352941,0.040849673,,,
1800,84.80392157,0.049019608,,,
1820,85.62091503,0.040849673,,,
1840,86.60130719,0.049019608,,,
1860,87.58169935,0.049019608,,,
1880,88.39869281,0.040849673,,,
1900,89.37908497,0.049019608,,,
1920,90.35947712,0.049019608,,,
1940,91.17647059,0.040849673,,,
1960,92.15686275,0.049019608,,,
1980,93.1372549,0.049019608,,,
2000,93.95424837,0.040849673,,,
2020,94.93464052,0.049019608,,,
2040,95.75163399,0.040849673,,,
2060,96.73202614,0.049019608,,,
